id,name,functional,reaction_count
YER053C,,True,1
YLR174W,,True,1
YGL245W,,True,1
YOL011W,,True,1
YOL033W,,True,1
YDL066W,,True,1
YMR006C,,True,2
YNL009W,,True,1
YMR008C,,True,2
YER065C,,True,1
YML059C,,True,1
YBR248C,,True,1
YKR031C,,True,1
YOR202W,,True,1
YOR143C,,True,2
YFL045C,,True,1
YOR074C,,True,1
YJR148W,,True,4
YMR220W,,True,1
YHR208W,,True,4
YDR050C,,True,1
YDR353W,,True,1
YOR163W,,True,2
YHR106W,,True,1
YDR017C,,True,2
YML100W,,True,2
YBL076C,,True,1
YDR531W,,True,1
YPL040C,,True,1
YCR028C,,True,1
YAR073W,,True,1
YMR261C,,True,2
YMR020W,,True,3
YBR011C,,True,1
YDR074W,,True,2
YML056C,,True,1
YMR267W,,True,1
YLR432W,,True,1
YBR126C,,True,2
YGL040C,,True,1
YBR001C,,True,1
YAR075W,,True,1
YKR097W,,True,1
YHR216W,,True,1
YDR001C,,True,1
YBR166C,,True,1
YNL316C,,True,1
YPR026W,,True,1
YOR245C,,True,1
YJR078W,,True,1
YOL103W,,True,1
YDR497C,,True,1
YER019W,,True,18
YKL004W,,True,6
YER014W,,True,1
YPL117C,,True,1
YGL026C,,True,1
YBR003W,,True,1
YOL097C,,True,1
YGL234W,,True,2
YDR268W,,True,1
YDR007W,,True,1
YCL018W,,True,1
YGL009C,,True,2
YDR403W,,True,1
YAR015W,,True,1
YGR185C,,True,1
YOR108W,,True,1
YNL104C,,True,2
YGR061C,,True,1
YIL020C,,True,1
YGR244C,,True,2
YPL097W,,True,1
YDL103C,,True,1
YLR142W,,True,1
YBR019C,,True,1
YOR142W,,True,2
YHR020W,,True,1
YBL098W,,True,1
YER087W,,True,1
YPL244C,,True,1
YHL011C,,True,1
YIR032C,,True,1
YER099C,,True,1
YKL024C,,True,4
YOL151W,,True,1
YCR075C,,True,1
YOL061W,,True,1
YBL068W,,True,1
YPL160W,,True,1
YKR069W,,True,1
YKL181W,,True,1
YOR278W,,True,1
YGR170W,,True,2
YDR047W,,True,1
YHR128W,,True,1
YLR382C,,True,1
YNL169C,,True,1
YML004C,,True,1
YBR021W,,True,1
YER026C,,True,2
YHL016C,,True,1
YHR007C,,True,2
YDR294C,,True,2
YBL042C,,True,1
YGR208W,,True,1
YJR019C,,True,7
YGR094W,,True,2
YHR072W,,True,1
YOR273C,,True,3
YPR140W,,True,1
YJR133W,,True,1
YLL028W,,True,3
YGR194C,,True,1
YDR037W,,True,1
YKL174C,,True,2
YNL073W,,True,1
YLR070C,,True,1
YNL268W,,True,1
YOR347C,,True,1
YML054C,,True,1
YAL038W,,True,1
YGL063W,,True,1
YDR236C,,True,2
YPL212C,,True,1
YNL117W,,True,2
YIR031C,,True,2
YOL143C,,True,1
YJL216C,,True,1
YBR299W,,True,1
YFL001W,,True,1
YBR256C,,True,1
YGR287C,,True,1
YIL066C,,True,2
YGR292W,,True,1
YNL292W,,True,1
YER060W_A,,True,3
YER070W,,True,8
YJL026W,,True,4
YEL017C_A,,True,1
YIL172C,,True,1
YGR180C,,True,4
YGR289C,,True,1
YNL129W,,True,1
YCR024C_A,,True,1
YJL121C,,True,1
YHR039C_A,,True,2
YDL247W,,True,1
YOR095C,,True,1
YJR160C,,True,1
YBR298C,,True,1
YDR322C_A,,True,1
YNR050C,,True,1
YML081C_A,,True,1
YIR034C,,True,1
YLR348C,,True,3
YJR010W,,True,1
YDL055C,,True,1
YER003C,,True,1
YOL077W_A,,True,1
YML008C,,True,1
YHR001W_A,,True,1
YPR006C,,True,1
YKR053C,,True,2
YOL126C,,True,1
YCR073W_A,,True,1
YJL134W,,True,2
YJR159W,,True,2
YBR058C_A,,True,1
YKL085W,,True,1
YIL167W,,True,1
YDL078C,,True,1
YCL064C,,True,2
YKL029C,,True,2
YDR062W,,True,1
YMR296C,,True,1
YLR180W,,True,1
YDR502C,,True,1
